restaurants,addresses
1. bp,700 Green LanesN21 3RL London 
2. The Hawksmoor,Rowbotham StreetSK14 5RP Hyde 
3. EasyRams,1 Pikes EndEnglish FranktonSY12 0JZ Ellesmere 
4. Gola restaurant,787 Fulham RoadSW6 5HD London 
5. The Courtyard Restaurant Syon Park,Park RoadHillier Garden Centre Syon ParkTW8 8JF Brentford 
6. Mulberry & Thyme Coffee Shop Dorking,"Reigate RoadHillier Garden Centre A25, BrockhamRH4 1NP Dorking "
7. Kaspa's Nottingham,52-60 Maid Marrian WayNG1 6BJ Nottingham 
8. Bar + Block Steakhouse London Kings Cross,"26-30 York Way, King's CrossN1 9AA London "
"9. Exeter Exeter (m5, Jn 29) Brewers Fayre",Fitzroy RoadEX1 3LJ Exeter 
10. Adam James webb,TR7 3BF Newquay 
11. The Co-operative Food Rowledge,4 The SquareRowledgeGU10 4AA Farnham 
12. Castlewood Brewers Fayre,Carter Lane EastAlfretonDE55 2DY South Normanton 
13. The Observatory Beefeater,Meridian Business ParkThorpe AstleyLE19 1LU Leicester 
14. Lodmoor Brewers Fayre,Preston Beach RoadDT4 7SX Weymouth 
15. Zari Restaurant | Crawley, Ifield DriveRH11 0DQ Crawley 
16. Cecconi's Shoreditch,58-60 Redchurch StreetShoreditchE2 7DP London 
17. Ocean Plaza Brewers Fayre,Ocean PlazaMarine DrivePR8 1RY Southport 
18. The Highwayman Beefeater,Baslow RoadEastmoorS42 7DA Chesterfield 
19. The Coldra Beefeater,Coldra JunctionChepstow RoadNP18 2NX Langstone 
20. Bar + Block Steakhouse Winnersh,Reading RoadRG41 5HQ Winnersh 
restaurants,addresses
21. Preston Brook Beefeater,Chester RoadPreston BrookWA7 3BB Runcorn 
22. Cirencester Beefeater,Kings MeadowCricklade RoadGL7 1NP Cirencester 
23. The Castle Inn (***½), Ford StreetHR6 9UN Wigmore 
24. Norman Jepson Beefeater,Bluebell WayPR2 5PZ Fulwood 
25. Cecconi's Mayfair,5A Burlington GardensW1S 3EP London 
26. Kaspa's Norbury,1465 London RoadSW16 4AQ London 
27. The Carousel Brewers Fayre,Falconer RoadYO11 2EN Scarborough 
28. Nelstrops Family Flour Millers, Albion Mills Manchester RoadSK4 1TZ Stockport 
29. Broomside Park Beefeater,Broomside LaneBelmont Industrial Est.DH1 1GG Durham 
30. ibis Hull City Centre,Osbourne StreetFerenswayHU1 2NL Hull 
31. Bloomsbury Street Kitchen,9-13 Bloomsbury StreetWC1B 3QD London 
32. Chequers Corner Brewers Fayre,2 New RoadRM9 6YS Dagenham 
33. Beefeater Whitley Bay,9 Spanish City PlazaWhitley BayNE26 1BG Tyne & Wear 
34. The Co-operative Food Alresford,47 West StreetSO24 9BT Alresford 
35. Cafe Santiago,62 Frst lane Winchmore hillN21 3HX London 
36. Harbour Lights Beefeater,1 Southampton RoadNorth HarbourPO6 4SA Portsmouth 
37. Morfa Table Table,Castleview Retail ParkMarsh RoadLL18 5UA Rhuddlan 
38. Ole & Steen,Richmond59 George StreetTW9 1HE London 
39. Lock Keeper Brewers Fayre,Tapton Lock HillOff RotherwayS41 7NJ Chesterfield 
40. Beefeater Travellers Rest,Ledbury RoadHR9 7QJ Ross-On-Wye 
restaurants,addresses
41. The Barn (Milton Keynes) Beefeater,Secklow Gate WestMK9 3BZ Milton Keynes 
42. Honourable Pilot Cookhouse + Pub,Will Adams WayME8 6BY Gillingham 
"43. The Co-operative Food Frome, Nunney Road",1a Nunney RoadBA11 4LA Frome 
44. Taco Bell,8 Bold StreetL1 4DS Liverpool 
45. Revolution Nottingham - Cornerhouse,The Corner HouseForeman StNG1 4DB Nottingham 
46. The Hunsworth Brewers Fayre,Whitehall RoadCleckheatonBD19 6HG Bradford 
47. Mobile Farm Shop,32 Round WoodCF23 9PF Cardiff 
48. The Plough,GalgateLA2 0LQ Lancaster 
49. Beefeater Uxbridge,Phase 500Riverside WayUB8 2YF Uxbridge 
"50. Duke Street Church, Richmond",Quadrant RoadTW9 1DH Richmond 
51. Bar + Block Steakhouse Bath,4 James Street WestBA1 2BX Bath 
52. Rhubarb Triangle Brewers Fayre,Paragon Business ParkHerriot WayWF1 2UF Wakefield 
53. Soho House 40 Greek Street,40 Greek StreetW1D 4EB London 
54. Kaspa's Woodgreen,42A High RoadN22 6BX London 
55. Gordano Gate Brewers Fayre,Wyndham WayBS20 7GA Portishead 
56. King Sedgemoor Inn Cookhouse + Pub,Express ParkBristol RoadTA6 4RR Bridgwater 
57. Gateway Park Brewers Fayre,"Gateway Park, Roman WayNewark RoadLN6 9UH Lincoln "
58. Hanley Brewers Fayre,Etruria RoadHanleyST1 5NH Stoke-on-Trent 
59. bp pulse Charging Station,"Dunkeld RdPerth SF Connect, The TrianglePH1 3GA Perth "
60. Heald Green Beefeater,Finney LaneHeald GreenSK8 3QH Stockport 
